id,hoa_giap_a,hoa_giap_b,nap_am_a,nap_am_b,hanh_a,hanh_b,quan_he_ngu_hanh,quan_he_dia_chi,cung_chi,nguon,ghi_chu
Bính Dần|Ất Dậu,Bính Dần,Ất Dậu,Lư Trung Hỏa,Tuyền Trung Thủy,Hỏa,Thủy,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Bính Tuất,Bính Dần,Bính Tuất,Lư Trung Hỏa,Ốc Thượng Thổ,Hỏa,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Bính Dần|Đinh Hợi,Bính Dần,Đinh Hợi,Lư Trung Hỏa,Ốc Thượng Thổ,Hỏa,Thổ,tuong_sinh,luc_hop,khong,tinh-toan,
Bính Dần|Mậu Tý,Bính Dần,Mậu Tý,Lư Trung Hỏa,Tích Lịch Hỏa,Hỏa,Hỏa,tuong_hoa,binh_thuong,khong,tinh-toan,
Bính Dần|Kỷ Sửu,Bính Dần,Kỷ Sửu,Lư Trung Hỏa,Tích Lịch Hỏa,Hỏa,Hỏa,tuong_hoa,binh_thuong,khong,tinh-toan,
Bính Dần|Canh Dần,Bính Dần,Canh Dần,Lư Trung Hỏa,Tùng Bách Mộc,Hỏa,Mộc,tuong_sinh,cung_chi,co,tinh-toan,
Bính Dần|Tân Mão,Bính Dần,Tân Mão,Lư Trung Hỏa,Tùng Bách Mộc,Hỏa,Mộc,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Nhâm Thìn,Bính Dần,Nhâm Thìn,Lư Trung Hỏa,Trường Lưu Thủy,Hỏa,Thủy,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Quý Tỵ,Bính Dần,Quý Tỵ,Lư Trung Hỏa,Trường Lưu Thủy,Hỏa,Thủy,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Bính Dần|Giáp Ngọ,Bính Dần,Giáp Ngọ,Lư Trung Hỏa,Sa Trung Kim,Hỏa,Kim,tuong_khac,tam_hop,khong,tinh-toan,
